Wall time,Step,Value
1739008663.2490096,12,0.01957015134394169
1739008665.6929946,36,0.015582522377371788
1739008667.5215564,60,0.01750325970351696
1739008669.7097917,84,0.01624433696269989
1739008671.8445396,108,0.017691366374492645
1739008674.0283585,132,0.01310012023895979
1739008676.0289295,156,0.014626245014369488
1739008678.1380684,180,0.01863783225417137
1739008680.448996,204,0.012750169262290001
1739008682.6857028,228,0.012372314929962158
1739008686.152346,252,0.02396438643336296
1739008688.0177984,276,0.015657996758818626
1739008690.2745767,300,0.014637728221714497
1739008692.142057,324,0.018969006836414337
1739008694.2780209,348,0.01517834048718214
1739008696.1467366,372,0.02339012362062931
1739008698.2712085,396,0.011256590485572815
1739008700.225963,420,0.01303042285144329
1739008702.1846132,444,0.01181488111615181
1739008704.2840784,468,0.020413706079125404
1739008706.1382244,492,0.015912389382719994
1739008708.4134862,516,0.015883484855294228
1739008710.4767888,540,0.01792450249195099
1739008712.4547265,564,0.013930846005678177
1739008714.5119255,588,0.016976306214928627
1739008716.5477643,612,0.01900537870824337
1739008719.9447315,636,0.018088610842823982
1739008721.7619855,660,0.01680600829422474
1739008723.8421185,684,0.019638381898403168
1739008725.917276,708,0.012165597639977932
1739008727.9941473,732,0.016961509361863136
1739008729.9457612,756,0.016873043030500412
1739008732.0341501,780,0.01439540646970272
1739008734.1759317,804,0.016068313270807266
1739008736.3251355,828,0.01625754125416279
1739008738.2619793,852,0.017713254317641258
1739008739.5480742,876,0.016714004799723625
1739008741.6974976,900,0.014021892100572586
1739008743.4757128,924,0.011438890360295773
1739008745.5714617,948,0.013484301045536995
1739008747.8401182,972,0.013050502166152
1739008750.0259993,996,0.015294864773750305
1739008753.4272673,1020,0.019451530650258064
1739008755.2090464,1044,0.01327462587505579
1739008757.398775,1068,0.02024190127849579
1739008759.4255285,1092,0.01710302010178566
1739008761.4709063,1116,0.021115994080901146
1739008763.3924775,1140,0.016657592728734016
1739008765.361347,1164,0.01843959465622902
