Wall time,Step,Value
1739965712.101347,0,3.0
1739965712.141267,1,7.0
1739965712.1748843,2,6.0
1739965712.2144856,3,7.0
1739965712.2478423,4,6.0
1739965712.3058848,5,10.0
1739965712.3539312,6,8.0
1739965712.405097,7,7.0
1739965712.4699948,8,5.0
1739965712.4904006,9,2.0
1739965712.5261655,10,5.0
1739965712.5865889,11,10.0
1739965712.638161,12,9.0
1739965712.660584,13,4.0
1739965712.7062087,14,8.0
1739965712.7294812,15,4.0
1739965712.763699,16,6.0
1739965712.786133,17,4.0
1739965712.8255763,18,7.0
1739965712.865977,19,7.0
1739965712.874405,20,1.0
1739965712.9707232,21,12.0
1739965712.9896164,22,3.0
1739965713.0355303,23,8.0
1739965713.075401,24,7.0
1739965713.1217468,25,8.0
1739965713.1553679,26,6.0
1739965713.1947746,27,7.0
1739965713.2473388,28,9.0
1739965713.2797475,29,5.0
