Wall time,Step,Value
1739965719.8458402,0,8.0
1739965719.9165125,1,11.0
1739965719.9575748,2,7.0
1739965720.0694106,3,16.0
1739965720.1175165,4,8.0
1739965720.2325504,5,15.0
1739965720.3489347,6,16.0
1739965720.396728,7,8.0
1739965720.4829462,8,14.0
1739965720.5351646,9,9.0
1739965720.6585095,10,16.0
1739965720.717688,11,8.0
1739965720.7796896,12,10.0
1739965720.8789127,13,15.0
1739965720.9526086,14,12.0
1739965720.9997487,15,8.0
1739965721.0399725,16,7.0
1739965721.1126745,17,11.0
1739965721.1831481,18,10.0
1739965721.2852752,19,15.0
1739965721.319958,20,6.0
1739965721.402913,21,13.0
1739965721.4486809,22,8.0
1739965721.4825335,23,6.0
1739965721.5553465,24,12.0
1739965721.6434095,25,13.0
1739965721.7029104,26,9.0
1739965721.756715,27,9.0
1739965721.842339,28,13.0
1739965721.9128404,29,11.0
