Wall time,Step,Value
1744189078.9535959,50,0.8870887756347656
1744189082.6490529,12850,0.8660369515419006
1744189084.3146875,19250,0.8475365042686462
1744189085.8681953,25650,0.790137529373169
1744189093.8978977,57650,0.7339404821395874
1744189097.0331142,64050,0.7323427796363831
1744189098.6934128,70450,0.716644823551178
1744189103.5597146,89650,0.6844485998153687
1744189105.1476068,96050,0.6784550547599792
1744189108.1969573,102450,0.66929692029953
1744189111.4642355,115250,0.6616194248199463
1744189113.053164,121650,0.6459036469459534
1744189114.6644204,128050,0.6376338601112366
1744189117.819971,140850,0.6261582374572754
1744189119.4422593,147250,0.6185073852539062
1744189125.1657538,166450,0.5942346453666687
1744189126.7822974,172850,0.5956544876098633
1744189128.409606,179250,0.5800052881240845
1744189131.4222867,185650,0.5645501613616943
1744189133.002205,192050,0.5583655834197998
1744189138.7527573,211250,0.5027795433998108
1744189140.3847125,217650,0.47872623801231384
1744189143.5083,230450,0.44175711274147034
1744189145.1438723,236850,0.42807719111442566
1744189146.762693,243250,0.4027356207370758
1744189148.345461,249650,0.3947763442993164
1744189149.9801521,256050,0.3912109434604645
1744189161.783693,300850,0.3183682858943939
1744189163.3754663,307250,0.31301969289779663
1744189165.0041757,313650,0.3005865514278412
1744189166.7550254,320050,0.2955443561077118
1744189168.3308856,326450,0.28496894240379333
1744189170.6766133,332850,0.28610193729400635
1744189172.2628708,339250,0.281215101480484
1744189173.8486614,345650,0.27168670296669006
1744189175.4346619,352050,0.26620081067085266
1744189178.838081,364850,0.2591272294521332
1744189183.7273293,384050,0.23163434863090515
1744189186.346092,390450,0.2315165251493454
1744189187.9547467,396850,0.21525518596172333
1744189189.6026702,403250,0.21553926169872284
1744189192.8620613,416050,0.20286251604557037
1744189194.4510052,422450,0.20768040418624878
1744189198.7428498,428850,0.19481226801872253
1744189200.3207338,435250,0.19266682863235474
1744189203.8881931,448050,0.186888188123703
1744189205.470157,454450,0.1746964305639267
1744189208.7046316,467250,0.1700035035610199
1744189211.9500377,480050,0.16061709821224213
1744189215.2556114,492850,0.1508895456790924
1744189216.9684007,499250,0.1534055471420288
1744189218.610276,505650,0.13958925008773804
1744189220.981638,512050,0.14981254935264587
1744189224.1345844,524850,0.13944712281227112
1744189225.729365,531250,0.13523678481578827
1744189228.8608856,544050,0.13052615523338318
1744189231.757423,550450,0.1281501203775406
1744189233.336454,556850,0.12957757711410522
1744189236.4995818,569650,0.12823785841464996
1744189238.0650074,576050,0.1220182478427887
1744189246.1605148,608050,0.12123722583055496
1744189252.6124098,633650,0.11269084364175797
1744189254.2415192,640050,0.10806289315223694
1744189259.0635412,659250,0.10978963971138
1744189260.809319,665650,0.11366420239210129
1744189265.937945,678450,0.10504218190908432
1744189268.139575,684850,0.10383080691099167
1744189270.432209,691250,0.10675062239170074
1744189272.5950015,697650,0.11021564155817032
1744189274.5890152,704050,0.10606897622346878
1744189276.5367804,710450,0.1008835956454277
1744189278.7970638,716850,0.10468719154596329
1744189283.1143806,729650,0.09965266287326813
1744189284.9271708,736050,0.10314887017011642
1744189287.2407985,742450,0.10537202656269073
1744189299.4079216,774450,0.09770882874727249
1744189308.6342707,800050,0.09469394385814667
1744189310.8629067,806450,0.09353958815336227
1744189315.0765662,819250,0.09349019080400467
1744189317.3196795,825650,0.09269212186336517
1744189319.500916,832050,0.09573662281036377
1744189321.7235792,838450,0.09251699596643448
1744189323.9523897,844850,0.0905408263206482
1744189328.1660488,857650,0.0914139673113823
1744189334.4767513,870450,0.09071368724107742
1744189336.420252,876850,0.08995626121759415
1744189338.6559312,883250,0.08895410597324371
1744189341.1930525,889650,0.09102854877710342
1744189350.0996714,915250,0.09100086241960526
1744189352.4900467,921650,0.08870051056146622
1744189354.6312885,928050,0.08672985434532166
1744189356.5368216,934450,0.08794626593589783
1744189358.9390433,940850,0.08223482221364975
1744189366.6986773,960050,0.08757955580949783
1744189373.2481558,985650,0.08585955947637558
1744189376.396176,998450,0.08597824722528458
1744189377.9197628,1004850,0.08117271214723587
1744189381.0105224,1017650,0.08361019939184189
1744189382.5473025,1024050,0.08086476475000381
1744189385.676431,1036850,0.08016450703144073
1744189387.2056668,1043250,0.07894907146692276
1744189388.807153,1049650,0.07928278297185898
1744189391.9621434,1062450,0.08080941438674927
1744189395.1812923,1075250,0.07789864391088486
1744189398.341552,1088050,0.07775513827800751
1744189399.9182258,1094450,0.0821736678481102
1744189401.4908953,1100850,0.08004096150398254
1744189404.7746544,1113650,0.07791744917631149
1744189406.2632618,1120050,0.07914695143699646
1744189407.829283,1126450,0.07539425045251846
1744189409.4217367,1132850,0.07602366805076599
1744189411.0052054,1139250,0.0730028972029686
1744189414.2445867,1152050,0.07401175796985626
1744189415.8717227,1158450,0.07519855350255966
1744189417.4372382,1164850,0.07723945379257202
1744189419.0628123,1171250,0.07460718601942062
1744189420.6387928,1177650,0.07262305915355682
1744189422.2122724,1184050,0.0749015361070633
1744189423.816857,1190450,0.07413165271282196
1744189428.5273364,1209650,0.07233798503875732
1744189430.1158395,1216050,0.07705780863761902
1744189434.4216383,1222450,0.07181751728057861
1744189436.0439847,1228850,0.07120560854673386
1744189440.8067062,1248050,0.07284589856863022
1744189445.488104,1267250,0.07266528159379959
1744189447.073727,1273650,0.07532631605863571
1744189448.623777,1280050,0.06838735938072205
1744189451.7595522,1292850,0.07186462730169296
1744189453.4329758,1299250,0.0685395896434784
1744189455.0278838,1305650,0.06705954670906067
1744189456.5812807,1312050,0.06851498782634735
1744189459.7524412,1324850,0.06974326074123383
1744189462.9047203,1337650,0.06912348419427872
1744189467.452555,1350450,0.06580536812543869
1744189470.6626859,1363250,0.07178537547588348
1744189473.7581778,1376050,0.0700603649020195
1744189475.363321,1382450,0.0697346180677414
1744189478.5566108,1395250,0.07011754810810089
1744189480.0998468,1401650,0.06830591708421707
1744189481.709931,1408050,0.06740289181470871
1744189483.2785113,1414450,0.06689547002315521
1744189484.901068,1420850,0.06881359964609146
1744189488.140355,1433650,0.06938822567462921
1744189489.7122116,1440050,0.06619028002023697
1744189491.309436,1446450,0.0692344382405281
1744189495.9713607,1465650,0.06583863496780396
1744189502.1131036,1484850,0.06661707907915115
1744189505.31987,1497650,0.060638654977083206
1744189506.8476112,1504050,0.061623938381671906
