Wall time,Step,Value
1744188590.3311214,0,14.0
1744188590.3772445,1,8.0
1744188590.4077294,2,6.0
1744188590.4345388,3,5.0
1744188590.4720464,4,7.0
1744188590.4921865,5,4.0
1744188590.5396814,6,9.0
1744188590.5878677,7,9.0
1744188590.6287775,8,8.0
1744188590.664301,9,7.0
1744188590.7238398,10,10.0
1744188590.777876,11,10.0
1744188590.7986636,12,4.0
1744188590.8407748,13,8.0
1744188590.8720536,14,6.0
1744188590.9149613,15,8.0
1744188590.9513772,16,7.0
1744188590.9884617,17,7.0
1744188591.0245345,18,7.0
1744188591.0648525,19,6.0
1744188591.078337,20,2.0
1744188591.104974,21,4.0
1744188591.1468801,22,6.0
1744188591.1800811,23,5.0
1744188591.2278435,24,7.0
1744188591.2637827,25,6.0
1744188591.296024,26,6.0
1744188591.3237858,27,5.0
1744188591.3782732,28,10.0
1744188591.4147577,29,7.0
