Wall time,Step,Value
1762089491.1821642,0,0.07749363034963608
1762089530.4657826,1,0.020242145285010338
1762089569.4317713,2,0.018174920231103897
1762089608.0812724,3,0.021521247923374176
1762089645.0994601,4,0.02360505424439907
1762089681.0882647,5,0.03276023268699646
1762089720.3958724,6,0.0424896739423275
1762089757.7668264,7,0.038674961775541306
1762089795.1886487,8,0.04230475425720215
1762089832.2479384,9,0.011796298436820507
1762089869.126842,10,0.042528703808784485
1762089907.2944245,11,0.03718583285808563
1762089943.1657536,12,0.037218667566776276
1762089980.837493,13,0.03247891366481781
1762090016.7833085,14,0.0318962037563324
1762090052.6916113,15,0.0287944283336401
1762090089.725837,16,0.029316026717424393
1762090127.689224,17,0.03845730796456337
1762090165.169923,18,0.022200819104909897
1762090201.2997751,19,0.026769638061523438
1762090238.3136463,20,0.013942069374024868
1762090276.5692916,21,0.037218667566776276
1762090313.2332327,22,0.03303366154432297
1762090348.8036673,23,0.011223415844142437
1762090386.5904365,24,0.0559517964720726
1762090422.42431,25,0.03840748965740204
1762090458.9708736,26,0.02010270021855831
1762090503.267742,27,0.050195347517728806
1762090539.6228957,28,0.024239307269454002
1762090575.653263,29,0.029162682592868805
