Wall time,Step,Value
1760797482.0769773,0,0.015518383122980595
1760797613.7234566,1,0.014061793684959412
1760797871.2643788,2,0.015944775193929672
1760798131.811618,3,0.01701338216662407
1760798273.5923786,4,0.027789056301116943
1760798396.257367,5,0.017780611291527748
1760798506.1770887,6,0.04162321612238884
1760798642.4664195,7,0.014568965882062912
1760798789.0541775,8,0.019415395334362984
1760799028.2070968,9,0.019651057198643684
1760799132.6277392,10,0.025017784908413887
1760799254.3873549,11,0.02037346363067627
1760799453.0240333,12,0.014864722266793251
1760799703.7126687,13,0.019593162462115288
1760799926.3102088,14,0.016389144584536552
1760800030.455802,15,0.019105512648820877
1760800272.1608949,16,0.021611861884593964
1760800443.2279005,17,0.017780931666493416
1760800675.7947931,18,0.022042077034711838
1760800897.835294,19,0.017368286848068237
1760801146.0585225,20,0.008745893836021423
1760801341.0400093,21,0.014864722266793251
1760801483.423109,22,0.011773169040679932
1760801653.5353503,23,0.012786798179149628
1760801819.9371822,24,0.02283083274960518
1760801939.500975,25,0.02174864336848259
1760802222.9547381,26,0.04175521433353424
1760802474.293152,27,0.0163553599268198
1760802672.6952388,28,0.018334319815039635
1760802824.1012948,29,0.023358946666121483
