Wall time,Step,Value
1762091058.7198272,0,0.016487639397382736
1762091099.7344236,1,0.017823759466409683
1762091136.788593,2,0.013227163814008236
1762091169.3418171,3,0.010490615852177143
1762091203.9396243,4,0.018394574522972107
1762091239.4376352,5,0.014409087598323822
1762091279.885814,6,0.023593036457896233
1762091343.605695,7,0.009088220074772835
1762091390.0493736,8,0.016120918095111847
1762091425.668478,9,0.009890491142868996
1762091463.8300936,10,0.020825613290071487
1762091499.5712657,11,0.020239505916833878
1762091547.27474,12,0.01727106422185898
1762091583.370028,13,0.011625288985669613
1762091616.976507,14,0.01279506552964449
1762091651.673184,15,0.014941726811230183
1762091687.2739606,16,0.01691579446196556
1762091722.765232,17,0.015958793461322784
1762091758.7963326,18,0.014587905257940292
1762091798.30205,19,0.016510916873812675
1762091835.3601723,20,0.007129780016839504
1762091873.3328676,21,0.01727106422185898
1762091951.6471758,22,0.013233821839094162
1762091996.8521404,23,0.015929052606225014
1762092032.96644,24,0.017554381862282753
1762092069.511448,25,0.017237210646271706
1762092105.9808304,26,0.01795663870871067
1762092137.8924055,27,0.020910989493131638
1762092174.6867545,28,0.014731225557625294
1762092210.1711497,29,0.014514428563416004
